CustomerModuleId|ModuleCombination|ValidationCode|CustomerId|DateCreated|UserId
3|113|F0-6E-81-14-B2-11-6D-AB-3F-89-F6-5A|2214|2020-08-27 16:29:42.850000000|
8|49|A8-0E-14-0F-43-01-FF-8B-F1-38-BF-B7|2243|2020-08-27 16:29:42.850000000|
10|49|53-DF-69-53-25-D1-81-7B-4E-7A-F9-C8|2247|2020-08-27 16:29:42.850000000|
11|49|53-DF-69-53-25-D1-81-7B-4E-7A-F9-C8|2247|2020-08-27 16:29:42.850000000|
12|117|A1-8F-83-A6-1A-B0-22-F7-05-AC-E7-44|1049|2020-08-27 16:29:42.850000000|
13|117|32-65-2F-F2-23-F2-4C-D2-26-69-CE-28|1049|2020-08-27 16:29:42.850000000|
25|113|11-19-D4-F8-6D-31-E2-F5-0E-C5-0A-E1|1895|2020-08-27 16:29:42.850000000|
26|113|11-19-D4-F8-6D-31-E2-F5-0E-C5-0A-E1|1895|2020-08-27 16:29:42.850000000|
27|113|11-19-D4-F8-6D-31-E2-F5-0E-C5-0A-E1|1895|2020-08-27 16:29:42.850000000|
36|113|3D-CC-07-BA-FE-6E-8F-AE-7E-3A-E6-1A|2258|2020-08-27 16:29:42.850000000|
41|115|EB-1C-82-3B-D8-DA-E1-FA-09-90-66-75|2259|2020-08-27 16:29:42.850000000|
47|119|69-93-FD-1C-44-F4-79-3B-06-F3-0E-1E|46|2020-08-27 16:29:42.850000000|
50|118|F9-17-17-5C-45-43-0C-80-F1-DF-81-5C|1855|2020-08-27 16:29:42.850000000|
51|118|F9-17-17-5C-45-43-0C-80-F1-DF-81-5C|1855|2020-08-27 16:29:42.850000000|
56|123|5E-71-BB-18-88-FD-CC-BD-12-9F-98-E1|944|2020-08-27 16:29:42.850000000|
57|123|AE-5F-02-F6-CF-DF-22-DF-EF-60-1E-59|944|2020-08-27 16:29:42.850000000|
58|49|2D-78-26-34-12-7D-2F-BE-03-76-2D-18|2033|2020-08-27 16:29:42.850000000|
68|113|AE-D3-A2-8B-2E-AA-FD-62-60-1F-AD-C9|2272|2020-08-27 16:29:42.850000000|
69|113|B8-28-7A-82-47-69-3A-C8-55-3D-D1-75|2272|2020-08-27 16:29:42.850000000|
93|113|E5-82-E2-F7-92-FE-BA-5A-57-49-E2-2F|2282|2020-08-27 16:29:42.850000000|
94|113|E5-82-E2-F7-92-FE-BA-5A-57-49-E2-2F|2282|2020-08-27 16:29:42.850000000|
120|113|79-5A-17-88-57-AF-1B-A6-EE-04-1C-B0|2292|2020-08-27 16:29:42.850000000|
121|113|79-5A-17-88-57-AF-1B-A6-EE-04-1C-B0|2292|2020-08-27 16:29:42.850000000|
122|2161|88-F6-6C-D3-02-47-04-51-72-12-D2-4A|2293|2020-08-27 16:29:42.850000000|
123|2161|88-F6-6C-D3-02-47-04-51-72-12-D2-4A|2293|2020-08-27 16:29:42.850000000|
126|65651|FD-74-DC-1F-30-3D-85-3A-BA-09-98-07|1854|2020-08-27 16:29:42.850000000|
127|65651|FD-74-DC-1F-30-3D-85-3A-BA-09-98-07|1854|2020-08-27 16:29:42.850000000|
134|123|1D-F0-1F-BD-17-0C-19-B2-AE-54-8F-12|2294|2020-08-27 16:29:42.850000000|
135|123|1D-F0-1F-BD-17-0C-19-B2-AE-54-8F-12|2294|2020-08-27 16:29:42.850000000|
147|113|16-54-0A-1B-86-CE-E9-C7-A9-6C-9E-91|2296|2020-08-27 16:29:42.850000000|
148|113|16-54-0A-1B-86-CE-E9-C7-A9-6C-9E-91|2296|2020-08-27 16:29:42.850000000|
166|1137|FC-3D-4A-CA-C3-7C-B8-FA-08-91-A1-E2|2300|2020-08-27 16:29:42.850000000|
167|65651|F8-02-81-FD-CB-30-3D-9E-30-05-06-D3|1976|2020-08-27 16:29:42.850000000|
180|117|84-A2-0B-DC-3D-4D-82-73-75-78-6C-A7|2304|2020-08-27 16:29:42.850000000|
195|49|E6-97-76-A2-F5-B7-D6-B3-BF-3E-72-0C|2311|2020-08-27 16:29:42.850000000|
196|113|F3-F6-4F-AE-B4-51-96-6E-85-35-34-00|2311|2020-08-27 16:29:42.850000000|
205|113|A4-44-35-DD-89-9C-7D-CC-09-E3-B8-08|2316|2020-08-27 16:29:42.850000000|
206|113|A4-44-35-DD-89-9C-7D-CC-09-E3-B8-08|2316|2020-08-27 16:29:42.850000000|
212|113|E5-DB-CE-A1-9C-C0-08-39-74-B8-FD-A5|2320|2020-08-27 16:29:42.850000000|
