CustomerTypeOneId|Name|Inactive|Guid
1|Google|False|{5E988D24-C55F-4292-A7EF-F7AE4D9B002A}
2|Mercado Libre|False|{4005C1B3-5D64-4EA3-ACAC-04F6EB628D81}
3|Recomendado|False|{DC92DD33-F41F-491E-812A-9FCA113C3CAB}
4|Berex|False|{111673EB-9FC5-4E19-8360-756562BB931F}
5|Newsletter|False|{1B7DFCA5-4272-4850-9B45-B5E05AACBA0E}
6|Fríos|False|{0C2F4EB8-9C0C-4742-84CD-5E8CA6A5AD6D}
7|Telemarketing|False|{F2CD5858-4234-4530-B5D4-5762E35E6980}
8|Otro|False|{BA9B3DF9-0F2F-4468-8C32-866739AE1D2C}
9|G1|False|{196B54A3-C638-42C7-A405-87F876673455}
10|Taringa / Foros|False|{9ACCE63B-0312-42F2-9A90-3D956F0BCAB3}
11|NS/NC|False|{3FD7EC0A-FD55-454F-94EA-28BA3DC7562C}
12|Yahoo!|False|{827E794D-8B5D-4047-AD4D-E555684B0933}
13|Bing|False|{930A20A5-3CC0-458D-813F-308970C506B8}
14|GastronomicoNET|False|{5815E1A6-5C51-43FB-8122-49926A5EB06F}
15|Feria/Evento|False|{0E47DBAB-6C83-41D6-9002-E85D554B8907}
16|TMK: Mariana|False|{B0C817CF-0B6C-4345-AFF9-1C9DA53039E4}
17|Distribuidora|False|{1DC7589D-C499-455E-A179-5906725B1617}
18|Nota revista|False|{D2D221DF-5E2E-4F56-AF2B-F60E416E298A}
19|Facebook|False|{536FF936-4C88-4B13-9E21-60EEB43EECE1}
20|CALSA|False|{F15695AF-884E-4FE0-8D8C-778BC474A7B4}
21|Google - Martina|False|{16B07F1C-C617-4E6A-9665-76C4BFD60C12}
