CustomerTypeTwoId|Name|Inactive|Guid
1|Agosto 2013|False|{55D64283-A964-4B00-B6B9-93569F152703}
2|Septiembre 2013|False|{532F9D55-9813-4CB9-BF2C-0117F1155187}
3|Octubre 2013|False|{28A7BACF-0F95-4935-BE02-8F8DA0493301}
4|Noviembre 2013|False|{CF6E6791-0BCC-418A-B034-EA925375669C}
5|Diciembre 2013|False|{3ADE6A41-8800-4C51-B64F-3FF9F70EC3C4}
6|Enero 2013|False|{B4DEC46C-F3B3-4572-893F-AA7038F35EF7}
7|Febrero 2013|False|{34C830F5-A882-4D26-83D1-D6B46B293CF2}
8|Marzo 2013|False|{F24D62CE-9939-43A5-9192-28B1D8515BD3}
9|Abril 2013|False|{EFB114E4-8A4A-4448-80BB-9C6D468D998D}
10|Mayo 2013|False|{83F32843-7CD2-4B2E-B53E-EC5311C967E1}
11|Junio 2013|False|{FFBEF81A-3015-498D-A0C9-433E040FB33B}
12|Julio 2013|False|{44BAC59C-CA03-4A5C-A6AD-27017C783B98}
13|Enero 2012|False|{46747206-BD7B-4BB3-87A9-3A8599E9DAAB}
14|Febrero 2012|False|{846F1E98-3B7C-423D-A45F-0F06351E5C60}
15|Marzo 2012|False|{77CD00C9-3886-407A-A229-1611C143F7A2}
16|Abril 2012|False|{0ED92B44-2EAF-4DF4-BF9F-80D774B2DA13}
17|Mayo 2012|False|{3923941B-C424-4003-9160-CBD81F4C0A68}
18|Junio 2012|False|{4F593C3A-6E3A-48EC-93D1-79BC3C8634C6}
19|Julio 2012|False|{547E7B03-9FAB-42BE-923E-41BF8B039895}
20|Agosto 2012|False|{8224098E-C2CA-4CAD-91A9-3132ACBE3FB0}
21|Septiembre 2012|False|{22AD7EFD-A80E-4EAA-B552-7C938BD423E3}
22|Octubre 2012|False|{EFD5D8A2-D1A7-4750-81AE-A6531FF9453E}
23|Noviembre 2012|False|{9CD01A3B-AC84-4CEA-8712-EE1ECC007342}
24|Diciembre 2012|False|{CD55C93B-78D5-4AA5-A51F-071D5D39E2F2}
25|Mensual x debito|False|{943A9FB2-04B7-4E92-A584-6EEC8452BFD3}
26|Enero 2014|False|{7E87E730-9EB9-453C-82A4-0CC62D06B876}
27|Enero 2014|False|{ED20CB72-7CCE-49FC-B97F-2E2A2B4DEC0A}
28|Febrero 2014|False|{7A09AF0A-945B-4210-8EEC-6305B6827481}
29|Marzo 2014|False|{3723F624-9204-4D8E-A405-D42086E205A4}
30|Abril 2014|False|{191F11B6-96AC-4D27-83EA-160C10C24BF7}
31|Mayo 2014|False|{80A829D7-4270-43A5-ADA1-18A9B9629CA7}
32|Junio 2014|False|{EA2B979B-5E62-4BA7-AC28-8D63D848AD29}
33|Julio 2014|False|{ECF6F87A-7971-4C63-AC24-542091713201}
34|Agosto 2014|False|{9285923B-F791-4C79-8726-D5B3E7F99CF6}
35|Septiembre 2014|False|{ED93286B-6486-4040-A381-45D438C9CEAE}
36|Octubre 2014|False|{7EF526E5-B928-424D-B805-5A2C34034E63}
37|Noviembre 2014|False|{FCF3B713-F071-4686-993E-823AFEF06DCD}
38|Diciembre 2014|False|{FA81CD6D-E3CF-4D8C-BE04-A32B47728C89}
39|Enero 2015|False|{39767169-AEE6-4A02-B82A-E72DFF782BD7}
40|Febrero 2015|False|{24BE5758-C110-40E3-9020-8CE774D93548}
41|Marzo 2015|False|{993F22D6-3FBA-4399-9AAF-376B5C2A43DB}
42|Abril 2015|False|{545A95FD-1E3A-429E-BE59-0C86CA22668F}
43|Mayo 2015|False|{FCD32736-9734-4D4A-97C5-8C24DF953B5B}
